部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,石炭・原油・天然ガス,その他の鉱業,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学製品,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・革製品・毛皮,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属,建設用・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信・映像・音響機器,電子計算機・同附属装置,乗用車,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明
米,0.012458,0.004732,0.008734,0.006234,0.001940,0.000000,0.000000,0.000000,0.000000,0.000000,0.703903,0.000040,0.000000,0.005189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004877,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.000000,0.000000,0.000000
耕種農業（米を除く）,0.000000,0.042640,0.069315,0.001489,0.000000,0.000000,0.000000,0.000000,0.000779,0.001813,0.021212,0.046615,0.028618,0.276974,0.000000,0.002404,0.000046,0.000000,0.000348,0.000000,0.000000,0.000874,0.000000,0.000000,0.086109,0.000000,0.000000,0.000000,0.000000,0.000127,0.000000,0.000000,0.000000,0.000000,0.000046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002717,0.000000,0.000668,0.000000,0.001987,0.001600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000253,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000034,0.001685,0.000000,0.001043,0.000000,0.003178,0.005133,0.001873,0.000077,0.000000,0.000000,0.000001,0.011054,0.023275,0.000066,0.001143,0.007413,0.000000,0.000000
畜産,0.006060,0.009415,0.126617,0.023262,0.000000,0.000000,0.000000,0.000000,0.385186,0.000866,0.000000,0.006883,0.000000,0.000809,0.000000,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,0.000000,0.000000,0.000000,0.027435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000203,0.001523,0.000139,0.000000,0.000477,0.000918,0.000000,0.000000,0.000000,0.000000,0.000000,0.001828,0.005978,0.000000,0.000000,0.000285,0.000000,0.000000
農業サービス,0.100628,0.044782,0.033352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000270,0.000000,0.000000,0.000000
林業,0.000000,0.000374,0.000000,0.000000,0.143081,0.000134,0.000000,0.000000,0.000000,0.000107,0.000000,0.001352,0.000000,0.000107,0.000000,0.000000,0.099066,0.000000,0.000171,0.000000,0.000000,0.000416,0.000000,0.000000,0.000000,0.006173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000456,0.000000,0.000013,0.000042,0.000118,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000072,0.000000,0.000011,0.000000,0.000119,0.000232,0.000000,0.000000,0.000000,0.000000,0.000000,0.001037,0.001870,0.000000,0.000000,0.000171,0.000000,0.000000
漁業,0.000000,0.000000,0.000000,0.000000,0.000000,0.027689,0.000000,0.000000,0.000162,0.346234,0.000000,0.005135,0.000000,0.001831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000078,0.000000,0.000249,0.000000,0.000741,0.001678,0.000000,0.000000,0.000000,0.000000,0.000000,0.003882,0.006617,0.000000,0.000019,0.000600,0.000000,0.000000
石炭・原油・天然ガス,0.000000,0.000000,0.000026,0.000000,0.000063,0.000000,0.000000,0.000000,0.000227,0.000043,0.000000,0.000347,0.000076,0.000504,0.000000,0.000053,0.000000,0.000000,0.012999,0.000110,0.000000,0.003749,0.567684,0.000028,0.000307,0.000000,0.000693,0.000366,0.013152,0.007434,0.000000,0.004519,0.000105,0.000000,0.000599,0.000050,0.000335,0.000058,0.000000,0.000000,0.000051,0.000218,0.000115,0.000000,0.000000,0.000048,0.000000,0.000104,0.000044,0.000208,0.000000,0.000000,0.000017,0.000259,0.000000,0.000000,0.000010,0.000007,0.299286,0.438777,0.000000,0.000000,0.000002,0.000005,0.000002,0.000008,0.000000,0.000000,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000079,0.000009,0.000000,0.000007,0.000017,0.000083,0.000062,0.000000,0.000000,0.000000,0.000089,0.000000,0.000122,0.000009,0.000000,0.000000,0.000000
その他の鉱業,0.000000,0.000000,0.000000,0.000000,0.000250,0.000000,0.000000,0.000267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000153,0.000000,0.000000,0.000000,0.000000,0.002747,0.000000,0.000000,0.003810,0.001791,0.000000,0.000195,0.000000,0.053571,0.058290,0.041263,0.028378,0.000000,0.000000,0.000315,0.000000,0.045431,0.000109,0.000000,0.000000,0.000021,0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001316,0.000000,0.002182,0.000264,0.016299,0.015372,-0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,-0.000029,0.000000,0.000019,0.000057,0.000000,0.000207
食肉・畜産食料品,0.000000,0.000000,0.000437,0.000000,0.000000,0.000000,0.000000,0.000000,0.166003,0.002096,0.000000,0.062972,0.006940,0.021182,0.000000,0.000481,0.000000,0.000000,0.001403,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.091221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000068,0.003217,0.000000,0.000943,0.000000,0.002853,0.004982,0.000000,0.000000,0.000000,0.000000,0.000000,0.015875,0.058309,0.000000,0.000019,0.002836,0.000000,0.000000
水産食料品,0.000000,0.000000,0.000000,0.000000,0.000000,0.030629,0.000000,0.000000,0.000400,0.070115,0.000000,0.014419,0.000000,0.005006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000050,0.000564,0.000000,0.000579,0.000000,0.002509,0.004506,0.000000,0.000000,0.000000,0.000000,0.000000,0.008486,0.026107,0.000000,0.000009,0.001237,0.000000,0.000000
精穀・製粉,0.000000,0.000000,0.001852,0.000000,0.004632,0.000000,0.000000,0.000000,0.000000,0.000176,0.002085,0.065302,0.008686,0.040289,0.000000,0.000000,0.002619,0.000000,0.000000,0.000000,0.000000,0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000041,0.000489,0.000000,0.000370,0.000000,0.001026,0.002857,0.000606,0.000000,0.000000,0.000000,0.000000,0.005848,0.011447,0.000000,0.000000,0.000895,0.000000,0.000000
その他の食料品,0.000000,0.000000,0.011409,0.000000,0.011204,0.002392,0.000000,0.000000,0.020021,0.026152,0.000124,0.144290,0.024378,0.199234,0.000000,0.000000,0.000000,0.000000,0.003708,0.000055,0.000000,0.005974,0.000004,0.000014,0.000000,0.000000,0.000173,0.000000,0.000723,0.001105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000158,0.001708,0.000000,0.001925,0.000000,0.005078,0.009274,0.000661,0.000000,0.000000,0.000000,0.000000,0.018542,0.072792,0.000000,0.000000,0.003083,0.000000,0.000000
飲料,0.000000,0.000000,0.000244,0.000047,0.000000,0.014566,0.000000,0.000000,0.002771,0.001166,0.000000,0.001574,0.021385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000136,0.000056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,0.000090,0.000000,0.000477,0.000000,0.001258,0.002422,0.000000,0.000000,0.000000,0.000000,0.000004,0.023560,0.077167,0.000000,0.000000,0.002055,0.000000,0.003058
飼料・有機質肥料（別掲を除く。）,0.010283,0.008443,0.333316,0.020331,0.008763,0.036723,0.000000,0.000000,-0.000022,0.000000,0.000000,0.000000,0.000000,0.046317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000335,0.003610,0.000039,0.000000,0.000053,0.000023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000604,0.000000,0.000000,0.000000
たばこ,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
